# Datafile created by QuickNXS 1.0.32
# Date: 2017-02-07 16:55:49
# Type: Specular
# Input file indices: 24600+24601+24602+24603
# Extracted states: ++
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth        number  File                                            
# 1      0   0   187.5   9        130     104      54      100       188   -0.002339  24550   /SNS/REF_M/IPTS-16455/data/REF_M_24550_histo.nxs
# 2      0   0   187.5   9        130.5   103      54      100       188   -0.002339  24551   /SNS/REF_M/IPTS-16455/data/REF_M_24551_histo.nxs
# 3      0   0   186.8   12       131     102      54      100       188   -0.002339  24552   /SNS/REF_M/IPTS-16455/data/REF_M_24552_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 20.7491   150   47   141.1   10       135    60       54      100       False        191   -0.261463  24600   1      /SNS/REF_M/IPTS-16455/data/REF_M_24600_histo.nxs
# 16.5959   142   49   139.5   10       135    60       54      100       False        191   -0.001396  24601   1      /SNS/REF_M/IPTS-16455/data/REF_M_24601_histo.nxs
# 12.0226   176   19   139.5   10       135    60       54      100       False        191   -0.001396  24602   2      /SNS/REF_M/IPTS-16455/data/REF_M_24602_histo.nxs
# 4.69894   176   11   139.5   10       135    60       54      100       False        191   0.561693   24603   3      /SNS/REF_M/IPTS-16455/data/REF_M_24603_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
3.706543e-02      	3.026894e-03      	1.511668e-04      	1.118822e-03      	1.196894e-02      
3.775825e-02      	2.493872e-03      	1.377333e-04      	1.140397e-03      	1.196894e-02      
3.847745e-02      	2.351378e-03      	1.311984e-04      	1.162832e-03      	1.196894e-02      
3.922458e-02      	1.498133e-03      	1.036084e-04      	1.186180e-03      	1.196894e-02      
4.000131e-02      	1.010766e-03      	8.518076e-05      	1.210499e-03      	1.196894e-02      
4.080942e-02      	7.886466e-04      	7.607218e-05      	1.235853e-03      	1.196894e-02      
4.165085e-02      	6.499068e-04      	7.008047e-05      	1.262308e-03      	1.196894e-02      
4.252771e-02      	6.399817e-04      	6.972245e-05      	1.289941e-03      	1.196894e-02      
4.344228e-02      	6.167598e-04      	6.962530e-05      	1.318830e-03      	1.196894e-02      
4.439706e-02      	7.924260e-04      	7.968356e-05      	1.349068e-03      	1.196894e-02      
4.539474e-02      	8.316796e-04      	8.364598e-05      	1.380749e-03      	1.196894e-02      
4.643830e-02      	9.638521e-04      	8.980660e-05      	1.413984e-03      	1.196894e-02      
4.753096e-02      	9.028559e-04      	8.765587e-05      	1.448890e-03      	1.196894e-02      
4.867629e-02      	8.138204e-04      	8.490041e-05      	1.485599e-03      	1.196894e-02      
4.987818e-02      	5.520383e-04      	7.226470e-05      	1.524255e-03      	1.196894e-02      
5.114091e-02      	3.626196e-04      	6.027193e-05      	1.565022e-03      	1.196894e-02      
5.246925e-02      	5.500225e-04      	7.904947e-05      	1.608080e-03      	1.196894e-02      
5.386843e-02      	3.400851e-04      	8.560879e-05      	1.653630e-03      	1.196894e-02      
5.534428e-02      	3.614705e-04      	1.466243e-04      	1.701900e-03      	1.196894e-02      
